Source,Target
1980_in_video_games,Sixth_generation_of_video_game_consoles
1980_in_video_games,Snake_(video_game_genre)
1980_in_video_games,Social_simulation_game
1980_in_video_games,Sokoban
1980_in_video_games,Soulslike
1980_in_video_games,Space_Invaders
1980_in_video_games,Space_Invaders_(Atari_2600_video_game)
1980_in_video_games,Space_Panic
1980_in_video_games,Space_flight_simulation_game
1980_in_video_games,Sports_video_game
1980_in_video_games,St._James_Press
1980_in_video_games,Star_Castle
1980_in_video_games,Stealth_game
1980_in_video_games,Stern_(game_company)
1980_in_video_games,Steven_L._Kent
1980_in_video_games,Strategic_Simulations
1980_in_video_games,Strategy_video_game
1980_in_video_games,Stratovox
1980_in_video_games,Street_Racer_(1977_video_game)
1980_in_video_games,Submarine_simulator
1980_in_video_games,Sunsoft
1980_in_video_games,Super_Speed_Race
1980_in_video_games,Survival_game
1980_in_video_games,Survival_horror
1980_in_video_games,TRS-80
1980_in_video_games,TRS-80_Color_Computer
1980_in_video_games,TV_Guide
1980_in_video_games,Tactical_role-playing_game
1980_in_video_games,Tactical_shooter
1980_in_video_games,Taito
1980_in_video_games,Tandy_Corporation
1980_in_video_games,Texas_Instruments
1980_in_video_games,The_Activision_Decathlon
1980_in_video_games,The_New_York_Times
1980_in_video_games,The_Prisoner
1980_in_video_games,The_Prisoner_(video_game)
1980_in_video_games,Third-party_developer
1980_in_video_games,Third-person_shooter
1980_in_video_games,Third_generation_of_video_game_consoles
1980_in_video_games,Tile-matching_video_game
1980_in_video_games,Time_management_game
1980_in_video_games,Timeline_of_arcade_video_game_history
1980_in_video_games,Tower_defense
1980_in_video_games,Toys-to-life
1980_in_video_games,Track_%26_Field_(video_game)
1980_in_video_games,Train_simulator
1980_in_video_games,Turn-based_role-playing_game
1980_in_video_games,Turn-based_strategy
1980_in_video_games,Turn-based_tactics
1980_in_video_games,Twin-stick_shooter
1980_in_video_games,Twitch_gameplay
1980_in_video_games,Typing_game
1980_in_video_games,U.S._District_Court_for_the_District_of_Nebraska
1980_in_video_games,United_Kingdom
1980_in_video_games,Universal_Entertainment
1980_in_video_games,Vehicle_simulation_game
1980_in_video_games,Vehicular_combat_game
1980_in_video_games,Vertically_scrolling_video_game
1980_in_video_games,Video_Olympics
