page_name,categories
Benito_Mussolini,"{'Critics of Freemasonry', 'Italian Socialist Party politicians', 'World War II political leaders', 'Totalitarianism', 'People executed by Italy by firing squad', 'Libyan genocide perpetrators', 'Recipients of the Order of the White Eagle (Poland)', 'Italian atheists', 'Natalist politicians', 'Italian nationalists', 'Fascist politicians', 'Ministers of the navy of Italy', '20th-century Italian journalists', 'Deputies of Legislature XXVIII of the Kingdom of Italy', 'Italian anti-communists', '1883 births', 'Benito Mussolini', 'Italian duellists', 'Ministers of the air force of Italy', 'Italian political party founders', 'Italian revolutionaries', 'Members of the Order of the Holy Sepulchre', 'Prime ministers of Italy', 'Grand Crosses of the Order of the Cross of Vytis', 'Members of the Chamber of Fasces and Corporations', 'Ministers of the interior of Italy', 'Deputies of Legislature XXVI of the Kingdom of Italy', 'Grand Crosses of the Order of Saint-Charles', 'Leaders ousted by a coup', 'Recipients of the Order of Lāčplēsis, 1st class', 'Italian people of World War II', 'People of the Italian Social Republic', 'Executed Italian people', 'Italian newspaper founders', 'White supremacists', 'Heads of state and government who were later imprisoned', 'Fascist writers', 'Bigamists', 'Executed prime ministers', 'Critics of the Catholic Church', 'Anti-American sentiment in Europe', 'Historians of fascism', 'Italian mass murderers', 'Annulled Honorary Knights Grand Cross of the Order of the Bath', 'Former Marxists', '20th-century atheists', 'Recipients of the Order of the White Lion', 'Knights of Malta', 'Field marshals of Italy', 'Deputies of Legislature XXVII of the Kingdom of Italy', 'University of Lausanne alumni', 'Ministers of foreign affairs of Italy', 'Executed revolutionaries', 'Mussolini family', 'Italian Army personnel', 'Mussolini Cabinet', 'Italian military personnel of World War I', 'Italian critics of Christianity', 'People from Predappio', '20th-century Italian diplomats', 'Ministers of war of Italy', 'Leaders who took power by coup', '1945 deaths', 'Politicide perpetrators', 'Italian syndicalists', 'Deputies of Legislature XXV of the Kingdom of Italy', 'Members of the Grand Council of Fascism', 'Holocaust perpetrators in Italy', 'Italian male journalists', 'Duci', 'Executed mass murderers', 'Politicians killed in World War II', 'Deputies of Legislature XXIX of the Kingdom of Italy', 'People deported from Switzerland', 'Italy in World War II', 'Colonialism', 'National syndicalists'}"
Berlin,"{'Members of the Hanseatic League', '1237 establishments in Europe', '1230s establishments in the Holy Roman Empire', 'Populated places established in the 13th century', 'States of Germany', 'Capitals in Europe', 'Berlin', 'City-states', 'Turkish communities outside Turkey', 'German state capitals', 'Holocaust locations in Germany', 'NUTS 2 statistical regions of Germany', 'NUTS 3 statistical regions of the European Union'}"
Blood_doping,"{'Drugs in sport', 'Doping in sport'}"
Boccia,"{'Parasports', 'Boccia', 'Boules', 'Throwing sports', 'Ball games'}"
Bodybuilding,"{'Weight training', 'Athletic sports', 'Body modification', 'Body shape', 'Physical exercise', 'Bodybuilding', 'Individual sports'}"
Bodybuilding_supplement,"{'Instant foods and drinks', 'Bodybuilding supplements'}"
Boomerang,"{'Australian English', 'Sports equipment', 'Weapons of Australia', 'Physical activity and dexterity toys', 'Australian inventions', 'Australian Aboriginal bushcraft', 'National symbols of Australia', 'Hunting equipment', 'Throwing clubs', 'Sports originating in Australia', '1790s neologisms', 'Individual sports'}"
Boules,"{'Boules', 'Throwing sports', 'Bowling', 'Ball games'}"
Bowling,"{'Team sports', 'Egyptian inventions', 'Throwing sports', 'Precision sports', 'Bowling', 'Ball games', 'Throwing games', 'Individual sports'}"
Boxing,"{'Summer Olympic sports', 'European martial arts', 'Boxing', 'Individual sports'}"
